,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
16,0.872,https://api.spotify.com/v1/audio-analysis/0O16DMTWjmid6wPhDcNWng,0.523,41461.0,0.0532,0O16DMTWjmid6wPhDcNWng,0.927,0.0,0.109,-25.192,1.0,0.159,109.551,3.0,https://api.spotify.com/v1/tracks/0O16DMTWjmid6wPhDcNWng,audio_features,spotify:track:0O16DMTWjmid6wPhDcNWng,0.0256
17,0.413,https://api.spotify.com/v1/audio-analysis/27EokqH08jWYo5X68ABJ8C,0.576,120656.0,0.366,27EokqH08jWYo5X68ABJ8C,0.000524,2.0,0.0977,-9.367,1.0,0.0551,167.892,4.0,https://api.spotify.com/v1/tracks/27EokqH08jWYo5X68ABJ8C,audio_features,spotify:track:27EokqH08jWYo5X68ABJ8C,0.766
18,0.0341,https://api.spotify.com/v1/audio-analysis/3Ons9ouBz7EDsEUn9EP46D,0.427,152471.0,0.873,3Ons9ouBz7EDsEUn9EP46D,0.903,8.0,0.467,-8.422,1.0,0.101,109.951,4.0,https://api.spotify.com/v1/tracks/3Ons9ouBz7EDsEUn9EP46D,audio_features,spotify:track:3Ons9ouBz7EDsEUn9EP46D,0.614
19,0.0178,https://api.spotify.com/v1/audio-analysis/4wAQ8Yvc5adzWz3L5V7ieR,0.422,194750.0,0.482,4wAQ8Yvc5adzWz3L5V7ieR,1.18e-06,10.0,0.0853,-7.228,1.0,0.0328,114.488,4.0,https://api.spotify.com/v1/tracks/4wAQ8Yvc5adzWz3L5V7ieR,audio_features,spotify:track:4wAQ8Yvc5adzWz3L5V7ieR,0.089
20,0.681,https://api.spotify.com/v1/audio-analysis/3kPS6E7M9mM6W4JatyoU7t,0.698,173829.0,0.561,3kPS6E7M9mM6W4JatyoU7t,0.886,11.0,0.139,-13.75,0.0,0.086,137.933,4.0,https://api.spotify.com/v1/tracks/3kPS6E7M9mM6W4JatyoU7t,audio_features,spotify:track:3kPS6E7M9mM6W4JatyoU7t,0.556
21,0.254,https://api.spotify.com/v1/audio-analysis/0BA5TR3LNpm7xOVisYJD3g,0.437,140699.0,0.522,0BA5TR3LNpm7xOVisYJD3g,0.358,10.0,0.191,-9.9,0.0,0.0359,137.762,3.0,https://api.spotify.com/v1/tracks/0BA5TR3LNpm7xOVisYJD3g,audio_features,spotify:track:0BA5TR3LNpm7xOVisYJD3g,0.131
22,0.943,https://api.spotify.com/v1/audio-analysis/3KwsQBotlJq9WDNrGCFrdN,0.783,87608.0,0.365,3KwsQBotlJq9WDNrGCFrdN,0.871,9.0,0.171,-14.347,1.0,0.0635,95.378,1.0,https://api.spotify.com/v1/tracks/3KwsQBotlJq9WDNrGCFrdN,audio_features,spotify:track:3KwsQBotlJq9WDNrGCFrdN,0.236
23,0.205,https://api.spotify.com/v1/audio-analysis/5J9eqtKATXH3AqEzZmZzuQ,0.184,375000.0,0.55,5J9eqtKATXH3AqEzZmZzuQ,0.231,5.0,0.074,-8.35,1.0,0.04,133.381,5.0,https://api.spotify.com/v1/tracks/5J9eqtKATXH3AqEzZmZzuQ,audio_features,spotify:track:5J9eqtKATXH3AqEzZmZzuQ,0.0363
24,0.0916,https://api.spotify.com/v1/audio-analysis/7IImvdQBuqs4KGj9igy2js,0.423,193551.0,0.736,7IImvdQBuqs4KGj9igy2js,0.698,9.0,0.173,-5.396,1.0,0.0303,144.949,4.0,https://api.spotify.com/v1/tracks/7IImvdQBuqs4KGj9igy2js,audio_features,spotify:track:7IImvdQBuqs4KGj9igy2js,0.602
25,0.107,https://api.spotify.com/v1/audio-analysis/56zbXHCUvsG7DCnPxYdI2z,0.589,187199.0,0.763,56zbXHCUvsG7DCnPxYdI2z,0.816,0.0,0.113,-6.614,0.0,0.0278,115.012,4.0,https://api.spotify.com/v1/tracks/56zbXHCUvsG7DCnPxYdI2z,audio_features,spotify:track:56zbXHCUvsG7DCnPxYdI2z,0.587
26,0.508,https://api.spotify.com/v1/audio-analysis/17IQoX9ov55zgOemgOtDGB,0.646,218368.0,0.723,17IQoX9ov55zgOemgOtDGB,0.101,7.0,0.369,-6.085,1.0,0.042,119.916,4.0,https://api.spotify.com/v1/tracks/17IQoX9ov55zgOemgOtDGB,audio_features,spotify:track:17IQoX9ov55zgOemgOtDGB,0.773
27,0.00594,https://api.spotify.com/v1/audio-analysis/0Vj6afDwwfwqxY1x3JpET9,0.487,172383.0,0.634,0Vj6afDwwfwqxY1x3JpET9,0.669,2.0,0.678,-6.885,1.0,0.0241,90.031,4.0,https://api.spotify.com/v1/tracks/0Vj6afDwwfwqxY1x3JpET9,audio_features,spotify:track:0Vj6afDwwfwqxY1x3JpET9,0.583
28,0.121,https://api.spotify.com/v1/audio-analysis/6hQodXcXMVzc5CvsXOBwTd,0.48,235799.0,0.725,6hQodXcXMVzc5CvsXOBwTd,0.45,5.0,0.115,-5.854,1.0,0.027,100.005,4.0,https://api.spotify.com/v1/tracks/6hQodXcXMVzc5CvsXOBwTd,audio_features,spotify:track:6hQodXcXMVzc5CvsXOBwTd,0.171
29,0.028,https://api.spotify.com/v1/audio-analysis/4Ke1HSZEgMdB7u0yQzAY0a,0.521,245069.0,0.477,4Ke1HSZEgMdB7u0yQzAY0a,0.435,9.0,0.0751,-8.298,0.0,0.0246,145.052,4.0,https://api.spotify.com/v1/tracks/4Ke1HSZEgMdB7u0yQzAY0a,audio_features,spotify:track:4Ke1HSZEgMdB7u0yQzAY0a,0.423
30,0.0435,https://api.spotify.com/v1/audio-analysis/4D2d1tGwHrfypCwa9kQ7H9,0.557,280500.0,0.837,4D2d1tGwHrfypCwa9kQ7H9,0.865,11.0,0.0985,-5.136,0.0,0.0304,120.007,4.0,https://api.spotify.com/v1/tracks/4D2d1tGwHrfypCwa9kQ7H9,audio_features,spotify:track:4D2d1tGwHrfypCwa9kQ7H9,0.381
31,0.406,https://api.spotify.com/v1/audio-analysis/7aSjfdU9DEI1jdOK1niNzp,0.498,241655.0,0.879,7aSjfdU9DEI1jdOK1niNzp,0.931,2.0,0.269,-6.025,1.0,0.032,145.051,4.0,https://api.spotify.com/v1/tracks/7aSjfdU9DEI1jdOK1niNzp,audio_features,spotify:track:7aSjfdU9DEI1jdOK1niNzp,0.555
32,0.0846,https://api.spotify.com/v1/audio-analysis/0iIZNAtdihZR65sTst3KgZ,0.607,203537.0,0.817,0iIZNAtdihZR65sTst3KgZ,0.0264,8.0,0.129,-6.801,0.0,0.0342,114.986,4.0,https://api.spotify.com/v1/tracks/0iIZNAtdihZR65sTst3KgZ,audio_features,spotify:track:0iIZNAtdihZR65sTst3KgZ,0.896
33,0.498,https://api.spotify.com/v1/audio-analysis/0O6jl8Zamz6TGF0nUwMQsF,0.791,298240.0,0.577,0O6jl8Zamz6TGF0nUwMQsF,0.47,1.0,0.12,-6.555,1.0,0.0367,115.07,4.0,https://api.spotify.com/v1/tracks/0O6jl8Zamz6TGF0nUwMQsF,audio_features,spotify:track:0O6jl8Zamz6TGF0nUwMQsF,0.217
34,0.61,https://api.spotify.com/v1/audio-analysis/5cjsgbZ8tZYD4f0LNpApnf,0.357,269227.0,0.377,5cjsgbZ8tZYD4f0LNpApnf,0.371,2.0,0.11,-10.723,1.0,0.0428,165.208,3.0,https://api.spotify.com/v1/tracks/5cjsgbZ8tZYD4f0LNpApnf,audio_features,spotify:track:5cjsgbZ8tZYD4f0LNpApnf,0.116
35,0.116,https://api.spotify.com/v1/audio-analysis/5Tm9At0xeFb0MtlV8uI3eY,0.595,327973.0,0.442,5Tm9At0xeFb0MtlV8uI3eY,0.77,7.0,0.114,-11.114,0.0,0.0289,81.992,4.0,https://api.spotify.com/v1/tracks/5Tm9At0xeFb0MtlV8uI3eY,audio_features,spotify:track:5Tm9At0xeFb0MtlV8uI3eY,0.134
36,0.0559,https://api.spotify.com/v1/audio-analysis/5FxVTEpoBress37MmlMhbZ,0.756,257053.0,0.85,5FxVTEpoBress37MmlMhbZ,0.000809,9.0,0.111,-5.885,0.0,0.0538,100.005,4.0,https://api.spotify.com/v1/tracks/5FxVTEpoBress37MmlMhbZ,audio_features,spotify:track:5FxVTEpoBress37MmlMhbZ,0.415
37,0.0391,https://api.spotify.com/v1/audio-analysis/4HMhDkyOObFngSAz2xeQhK,0.661,250587.0,0.596,4HMhDkyOObFngSAz2xeQhK,0.331,9.0,0.943,-8.176,0.0,0.0801,154.017,4.0,https://api.spotify.com/v1/tracks/4HMhDkyOObFngSAz2xeQhK,audio_features,spotify:track:4HMhDkyOObFngSAz2xeQhK,0.538
38,0.328,https://api.spotify.com/v1/audio-analysis/36ltVroxdokt4IVqNh4EEO,0.743,256227.0,0.498,36ltVroxdokt4IVqNh4EEO,0.00244,0.0,0.115,-6.443,1.0,0.0356,96.001,4.0,https://api.spotify.com/v1/tracks/36ltVroxdokt4IVqNh4EEO,audio_features,spotify:track:36ltVroxdokt4IVqNh4EEO,0.792
39,0.426,https://api.spotify.com/v1/audio-analysis/40jxatV29fk82SAziDsPqN,0.594,277813.0,0.762,40jxatV29fk82SAziDsPqN,0.0,9.0,0.085,-7.951,0.0,0.0899,139.932,4.0,https://api.spotify.com/v1/tracks/40jxatV29fk82SAziDsPqN,audio_features,spotify:track:40jxatV29fk82SAziDsPqN,0.588
40,0.606,https://api.spotify.com/v1/audio-analysis/6WSBZroxQaO3FYEpT2ACFH,0.673,285520.0,0.61,6WSBZroxQaO3FYEpT2ACFH,0.0177,4.0,0.116,-8.386,0.0,0.191,152.062,4.0,https://api.spotify.com/v1/tracks/6WSBZroxQaO3FYEpT2ACFH,audio_features,spotify:track:6WSBZroxQaO3FYEpT2ACFH,0.759
41,0.196,https://api.spotify.com/v1/audio-analysis/0gnYo3z19PzAVikI7doinv,0.817,236760.0,0.716,0gnYo3z19PzAVikI7doinv,0.00433,5.0,0.0861,-7.36,0.0,0.0687,113.982,4.0,https://api.spotify.com/v1/tracks/0gnYo3z19PzAVikI7doinv,audio_features,spotify:track:0gnYo3z19PzAVikI7doinv,0.402
42,0.238,https://api.spotify.com/v1/audio-analysis/1Bta6k7sXqUJfebYppG7Mq,0.651,262547.0,0.649,1Bta6k7sXqUJfebYppG7Mq,0.000181,9.0,0.207,-9.413,0.0,0.163,120.097,4.0,https://api.spotify.com/v1/tracks/1Bta6k7sXqUJfebYppG7Mq,audio_features,spotify:track:1Bta6k7sXqUJfebYppG7Mq,0.239
43,0.15,https://api.spotify.com/v1/audio-analysis/4VOUXdkDN3USHfEtBjCUPS,0.733,283427.0,0.656,4VOUXdkDN3USHfEtBjCUPS,0.5,0.0,0.0803,-10.354,1.0,0.0336,121.016,4.0,https://api.spotify.com/v1/tracks/4VOUXdkDN3USHfEtBjCUPS,audio_features,spotify:track:4VOUXdkDN3USHfEtBjCUPS,0.718
